room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
12143955,65195801,Private room,,24,10,4.5,2,1.0,50.0,,56.159566,10.197703,2017-01-21 11:21:30.667654
6530993,34157415,Private room,,24,11,5.0,2,1.0,44.0,,56.154144,10.195362,2017-01-21 11:21:30.665495
13809120,81063820,Private room,,24,9,4.5,4,1.0,48.0,,56.159834,10.213257,2017-01-21 11:21:30.661482
13103589,72819894,Private room,,5,7,5.0,2,1.0,44.0,,56.196783,10.213902,2017-01-21 11:21:29.631988
11734269,62416185,Private room,,4,1,0.0,1,1.0,59.0,,56.18172,10.212459,2017-01-21 11:21:29.629724
16502800,104077777,Private room,,4,0,0.0,2,1.0,59.0,,56.180986,10.198302,2017-01-21 11:21:29.626700
15370111,7856370,Private room,,24,0,0.0,2,1.0,43.0,,56.163717,10.227348,2017-01-21 11:21:29.624499
9359600,48570226,Private room,,24,16,4.5,3,1.0,44.0,,56.161485,10.198163,2017-01-21 11:21:29.621459
6875189,28341152,Private room,,24,19,4.0,2,1.0,58.0,,56.160572,10.204,2017-01-21 11:21:29.618289
13898783,17048412,Private room,,5,1,0.0,2,1.0,59.0,,56.190955,10.228908,2017-01-21 11:21:29.616208
6702677,35083326,Private room,,24,12,5.0,4,1.0,60.0,,56.158309,10.213962,2017-01-21 11:21:29.613265
6814903,21665869,Private room,,24,0,0.0,2,1.0,59.0,,56.154582,10.183517,2017-01-21 11:21:29.610850
13242039,41816114,Private room,,24,8,5.0,2,1.0,53.0,,56.164124,10.228681,2017-01-21 11:21:29.607948
8075284,8637497,Private room,,4,21,4.5,1,1.0,44.0,,56.180096,10.217471,2017-01-21 11:21:29.605462
14320772,4884101,Private room,,24,17,4.5,4,1.0,46.0,,56.153751,10.196218,2017-01-21 11:21:29.602251
1503388,8032574,Private room,,10,88,5.0,2,1.0,43.0,,56.157389,10.124366,2017-01-21 11:21:29.599900
16733209,110959174,Private room,,24,0,0.0,2,1.0,59.0,,56.159333,10.209408,2017-01-21 11:21:29.597404
16447542,107878335,Private room,,24,1,0.0,2,1.0,47.0,,56.165846,10.201366,2017-01-21 11:21:29.594911
3269330,4428414,Private room,,24,21,4.5,2,1.0,44.0,,56.163084,10.204963,2017-01-21 11:21:29.591889
1032200,5678913,Private room,,24,8,5.0,2,1.0,59.0,,56.164322,10.204468,2017-01-21 11:21:29.587810
7000900,7051501,Private room,,24,54,5.0,2,1.0,56.0,,56.163343,10.192729,2017-01-21 11:21:29.584218
11336542,45314495,Private room,,2,3,4.5,2,1.0,38.0,,56.121157,10.151036,2017-01-21 11:21:28.282643
