room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
4410735,1353,22894122,Entire home/apt,,Aarhus,,24,24,4.0,2,1.0,,46.0,,2 bedroom-apartment in Center of År,2017-06-19 08:44:44.568238,56.161475,10.183815,0101000020E61000004A07EBFF1C5E2440910F7A36AB144C40
13879402,1353,82127701,Entire home/apt,,Aarhus,,2,4,4.0,3,3.0,,42.0,,Apartment that has it all. 2 Bedrooms + livingroom,2017-06-19 08:44:44.555107,56.140718,10.177762,0101000020E61000006FF1F09E035B2440B1FA230C03124C40
6606909,1353,34569553,Entire home/apt,,Aarhus,,24,3,5.0,6,2.0,,61.0,,Nice 2room appartment in Aarhus C,2017-06-19 08:44:28.506750,56.144365,10.190521,0101000020E61000000667F0F78B612440F1D7648D7A124C40
17188224,1353,40257163,Entire home/apt,,Aarhus,,2,4,4.5,2,1.0,,46.0,,A room/et værelse i Aarhus C,2017-06-19 08:44:22.922602,56.140188,10.185421,0101000020E6100000B5FB5580EF5E244055A52DAEF1114C40
13559234,1353,8552235,Entire home/apt,,Aarhus,,24,2,0.0,2,2.0,,54.0,,Charming lightfull apartment,2017-06-19 08:44:11.261113,56.144049,10.20762,0101000020E6100000B5FD2B2B4D6A2440C102983270124C40
15402759,1353,98577408,Entire home/apt,,Aarhus,,24,0,0.0,2,1.0,,55.0,,Charmerende lejlighed i centrum af Århus.,2017-06-19 08:44:09.869727,56.154693,10.198309,0101000020E61000004301DBC188652440C7F5EFFACC134C40
10249018,1353,52681432,Entire home/apt,,Aarhus,,24,1,0.0,2,1.0,,42.0,,New and minimalistic apartment,2017-06-19 08:43:32.361731,56.155095,10.190818,0101000020E6100000ECF99AE5B2612440F6622827DA134C40
16893328,1353,48777219,Entire home/apt,,Aarhus,,24,0,0.0,2,1.0,,46.0,,"Hyggelig, rolig og fin lejlighed på Trøjborg.",2017-06-19 08:42:06.005359,56.171046,10.215232,0101000020E6100000F81A82E3326E2440490ED8D5E4154C40
13872373,1353,56987868,Entire home/apt,,Aarhus,,4,0,0.0,3,1.0,,48.0,,Relaxing apartment in Aarhus N,2017-06-19 08:41:59.471869,56.186431,10.200313,0101000020E610000063EDEF6C8F662440F4FA93F8DC174C40
9982824,1353,51295157,Entire home/apt,,Aarhus,,2,4,5.0,3,1.0,,57.0,,Central og børnevenlig lejlighed,2017-06-19 08:41:52.443946,56.140647,10.185349,0101000020E61000004FB16A10E65E2440E8A38CB800124C40
17170021,1353,115503007,Entire home/apt,,Aarhus,,24,1,0.0,4,1.0,,47.0,,Cozy apartment in the center of Aarhus,2017-06-19 08:41:46.735275,56.162917,10.199557,0101000020E61000003160C9552C662440317BD976DA144C40
17650479,1353,78850324,Entire home/apt,,Aarhus,,1,0,0.0,3,2.0,,35.0,,Cozy appartment in quiet location,2017-06-19 08:41:31.587322,56.120501,10.176818,0101000020E610000032B08EE3875A24405111A7936C0F4C40
